Prefix RunNumber Configuration Runtime CreatedEvents Sec/Simsec StudyParameter
mpi_nma_channeldelay_100ms 30 Monolithic 27.312s 7255564 2.19782571429 9000 1
mpi_nma_channeldelay_100ms 31 Monolithic 27.194s 6315792 2.1461395 9500 0
mpi_nma_channeldelay_100ms 31 Monolithic 26.022s 6905272 2.31960714286 9500 1
mpi_nma_channeldelay_100ms 32 Monolithic 24.923s 6000002 2.30780207692 10000 0
mpi_nma_channeldelay_100ms 32 Monolithic 23.758s 6590008 2.5263975 10000 1
mpi_nma_channeldelay_100ms 33 Monolithic 17.767s 4000002 3.35144333333 15000 0
mpi_nma_channeldelay_100ms 33 Monolithic 16.656s 4593342 3.60663222222 15000 1
mpi_nma_channeldelay_100ms 34 Monolithic 13.202s 3000002 4.31661814286 20000 0
mpi_nma_channeldelay_100ms 34 Monolithic 12.121s 3595008 4.90784571429 20000 1
mpi_nma_channeldelay_100ms 35 Monolithic 10.728s 2400002 5.05550666667 25000 0
mpi_nma_channeldelay_100ms 35 Monolithic 9.663s 2996008 6.216742 25000 1
mpi_nma_channeldelay_100ms 36 Monolithic 9.301s 2000002 6.104234 30000 0
mpi_nma_channeldelay_100ms 36 Monolithic 8.247s 2596675 7.308724 30000 1
